,Unnamed: 0.1_x,Unnamed: 0_x,Dates,Monero (XMR),Unnamed: 0.1_y,Unnamed: 0_y,Bitcoin,Ethereum
0,0,0,1/2/2020,0.02951740689,0,0,0.03330750652,0.00439646246
1,1,1,1/3/2020,0.04159763025,1,1,0.03907485791,0.005830829556
2,2,2,1/4/2020,0.04043612727,2,2,0.03970299161,0.005949652866
3,3,3,1/5/2020,0.04774151769,3,3,0.03962327921,0.00613213152
4,4,4,1/6/2020,0.05939524647,4,4,0.04645287802,0.008084228752
5,5,5,1/7/2020,0.05829148283,5,5,0.05279097018,0.007905993787
6,6,6,1/8/2020,0.0605635593,6,6,0.05083116117,0.007322486463
7,7,7,1/9/2020,0.05894295286,7,7,0.04713681039,0.006709273311
8,8,8,1/10/2020,0.05835291262,8,8,0.05282014492,0.008196686527
9,9,9,1/11/2020,0.05789957328,9,9,0.05045380268,0.00775322096
10,10,10,1/12/2020,0.06007307561,10,10,0.05273947597,0.008595593353
11,11,11,1/13/2020,0.05681414966,11,11,0.05177160804,0.007939943304
12,12,12,1/14/2020,0.06776262578,12,12,0.06322165626,0.01266104802
13,13,13,1/15/2020,0.08009536429,13,13,0.0630000558,0.0127735058
14,14,14,1/16/2020,0.07426566217,14,14,0.0615006656,0.01227275042
15,15,15,1/17/2020,0.08130957407,15,15,0.06444460387,0.01347371459
16,16,16,1/18/2020,0.07735589624,16,16,0.06460243442,0.01450068748
17,17,17,1/19/2020,0.07307159193,17,17,0.06122597668,0.01287111066
18,18,18,1/20/2020,0.07260336958,18,18,0.05998230385,0.01285625774
19,19,19,1/21/2020,0.07477164252,19,19,0.06161656742,0.01338884079
20,20,20,1/22/2020,0.07260354608,20,20,0.06052944975,0.01307268592
21,21,21,1/23/2020,0.06706782358,21,21,0.05624682147,0.01194810816
22,22,22,1/24/2020,0.06538211934,22,22,0.05691720273,0.01192688971
23,23,23,1/25/2020,0.06474994834,23,23,0.05531578066,0.01146432754
24,24,24,1/26/2020,0.0701868688,24,24,0.05959139425,0.01299842135
25,25,25,1/27/2020,0.07374205507,25,25,0.06438928347,0.01351190779
26,26,26,1/28/2020,0.07910877502,26,26,0.07233740664,0.01478501468
27,27,27,1/29/2020,0.08362668364,27,27,0.07068130186,0.01428213746
28,28,28,1/30/2020,0.09450609402,28,28,0.07406844106,0.01664799443
29,29,29,1/31/2020,0.08841250485,29,29,0.07138851025,0.01562738708
30,30,30,2/1/2020,0.09110189611,30,30,0.07214848825,0.01646339393
31,31,31,2/2/2020,0.09477234566,31,31,0.07120549059,0.01746278284
32,32,32,2/3/2020,0.09883225748,32,32,0.0706750843,0.01773650082
33,33,33,2/4/2020,0.09508877869,33,33,0.06866792612,0.01743095517
34,34,34,2/5/2020,0.1013623833,34,34,0.07583391125,0.0207749826
35,35,35,2/6/2020,0.102053027,35,35,0.07821236977,0.02267403371
36,36,36,2/7/2020,0.1048541372,36,36,0.07893025962,0.02485316834
37,37,37,2/8/2020,0.107614796,37,37,0.08048624563,0.02488499601
38,38,38,2/9/2020,0.1228940229,38,38,0.08468166854,0.02603715775
39,39,39,2/10/2020,0.1165433954,39,39,0.07962758368,0.02477466008
40,40,40,2/11/2020,0.127702462,40,40,0.08629504747,0.02798501129
41,41,41,2/12/2020,0.138339251,41,41,0.08758798256,0.0340174161
42,42,42,2/13/2020,0.1331844466,42,42,0.08575938016,0.03444390691
43,43,43,2/14/2020,0.1397446722,43,43,0.08791002065,0.03823139991
44,44,44,2/15/2020,0.1260832075,44,44,0.08057504524,0.03370126122
45,45,45,2/16/2020,0.1235333261,45,45,0.08073112211,0.03233903685
